,Unnamed: 0,class,precision_CDI_01234,recall_CDI_01234,f1_score_CDI_01234,support,Unnamed: 0,class,precision_CDI_0123,recall_CDI_0123,f1_score_CDI_0123,support,Unnamed: 0,class,precision_CDI_012,recall_CDI_012,f1_score_CDI_012,support,Unnamed: 0,class,precision_CDI_01,recall_CDI_01,f1_score_CDI_01,support,Unnamed: 0,class,precision_CDI0,recall_CDI0,f1_score_CDI0,support,Unnamed: 0,class,precision_RF,recall_RF,f1_score_RF,support
35,35,1,0.76,0.97,0.85,73,71.0,1.0,0.62,0.97,0.75,60.0,71.0,1.0,0.64,0.87,0.74,60.0,71.0,1.0,0.62,0.58,0.6,60.0,36.0,1.0,0.74,0.33,0.46,60.0,35,1,0.89,0.89,0.89,63
36,36,0,0.96,0.57,0.72,77,73.0,1.0,0.66,0.97,0.79,67.0,73.0,1.0,0.71,0.87,0.78,67.0,73.0,1.0,0.73,0.67,0.7,67.0,37.0,1.0,0.82,0.49,0.62,67.0,36,0,0.95,0.95,0.95,73
37,37,1,0.65,0.97,0.78,63,75.0,1.0,0.63,0.98,0.77,60.0,75.0,1.0,0.68,0.87,0.76,60.0,75.0,1.0,0.73,0.73,0.73,60.0,38.0,1.0,0.72,0.35,0.47,60.0,37,1,0.94,0.94,0.94,67
38,38,0,0.96,0.59,0.73,73,77.0,1.0,0.66,0.99,0.79,67.0,77.0,1.0,0.67,0.87,0.76,67.0,77.0,1.0,0.7,0.69,0.69,67.0,39.0,1.0,0.79,0.49,0.61,67.0,38,0,0.96,0.87,0.91,75
39,39,1,0.68,0.97,0.8,67,79.0,1.0,0.7,0.97,0.81,70.0,79.0,1.0,0.72,0.89,0.79,70.0,79.0,1.0,0.77,0.73,0.75,70.0,40.0,1.0,0.82,0.46,0.59,70.0,39,1,0.86,0.95,0.91,65
40,40,0,1.0,0.55,0.71,75,81.0,1.0,0.69,1.0,0.82,68.0,81.0,1.0,0.71,0.94,0.81,68.0,81.0,1.0,0.73,0.69,0.71,68.0,41.0,1.0,0.76,0.41,0.53,68.0,40,0,0.94,0.89,0.92,76
41,41,1,0.66,1.0,0.79,65,83.0,1.0,0.7,0.97,0.81,72.0,83.0,1.0,0.71,0.89,0.79,72.0,83.0,1.0,0.75,0.69,0.72,72.0,42.0,1.0,0.82,0.44,0.58,72.0,41,1,0.88,0.94,0.91,64
42,42,0,1.0,0.53,0.69,76,85.0,1.0,0.66,1.0,0.79,67.0,85.0,1.0,0.69,0.97,0.81,67.0,85.0,1.0,0.75,0.78,0.76,67.0,43.0,1.0,0.82,0.48,0.6,67.0,42,0,0.94,0.91,0.93,68
43,43,1,0.64,1.0,0.78,64,87.0,1.0,0.68,1.0,0.81,69.0,87.0,1.0,0.67,0.84,0.75,69.0,87.0,1.0,0.74,0.75,0.75,69.0,44.0,1.0,0.77,0.43,0.56,69.0,43,1,0.92,0.94,0.93,72
44,44,0,1.0,0.5,0.67,68,89.0,1.0,0.67,0.98,0.8,66.0,89.0,1.0,0.73,0.92,0.81,66.0,89.0,1.0,0.71,0.68,0.7,66.0,45.0,1.0,0.85,0.42,0.57,66.0,44,0,0.91,0.92,0.91,73
45,45,1,0.68,1.0,0.81,72,91.0,1.0,0.66,0.98,0.79,63.0,91.0,1.0,0.68,0.89,0.77,63.0,91.0,1.0,0.61,0.56,0.58,63.0,46.0,1.0,0.81,0.46,0.59,63.0,45,1,0.91,0.9,0.9,67
46,46,0,0.98,0.56,0.71,75,93.0,1.0,0.67,0.97,0.79,67.0,93.0,1.0,0.69,0.9,0.78,67.0,93.0,1.0,0.7,0.7,0.7,67.0,47.0,1.0,0.81,0.37,0.51,67.0,46,0,0.97,0.91,0.94,80
47,47,1,0.66,0.98,0.79,65,95.0,1.0,0.68,0.97,0.8,75.0,95.0,1.0,0.71,0.85,0.78,75.0,95.0,1.0,0.77,0.72,0.74,75.0,48.0,1.0,0.9,0.49,0.64,75.0,47,1,0.89,0.97,0.93,60
48,48,0,0.96,0.57,0.72,80,97.0,1.0,0.68,0.98,0.81,65.0,97.0,1.0,0.69,0.94,0.79,65.0,97.0,1.0,0.68,0.66,0.67,65.0,49.0,1.0,0.75,0.46,0.57,65.0,48,0,0.9,0.93,0.91,67
49,49,1,0.63,0.97,0.76,60,99.0,1.0,0.67,0.99,0.8,67.0,99.0,1.0,0.71,0.94,0.81,67.0,99.0,1.0,0.73,0.81,0.77,67.0,50.0,1.0,0.82,0.54,0.65,67.0,49,1,0.93,0.9,0.92,73
50,50,0,1.0,0.54,0.7,67,101.0,1.0,0.62,0.97,0.75,62.0,101.0,1.0,0.67,0.9,0.77,62.0,101.0,1.0,0.68,0.69,0.69,62.0,51.0,1.0,0.77,0.44,0.56,62.0,50,0,0.93,0.88,0.9,81
51,51,1,0.7,1.0,0.82,73,,,,,,,,,,,,,,,,,,,,,,,,,51,1,0.84,0.92,0.88,59
52,52,0,1.0,0.57,0.72,81,,,,,,,,,,,,,,,,,,,,,,,,,52,0,0.85,0.91,0.88,58
53,53,1,0.63,1.0,0.77,59,,,,,,,,,,,,,,,,,,,,,,,,,53,1,0.94,0.89,0.91,82
54,54,0,0.94,0.57,0.71,58,,,,,,,,,,,,,,,,,,,,,,,,,54,0,0.9,0.87,0.88,70
55,55,1,0.76,0.98,0.86,82,,,,,,,,,,,,,,,,,,,,,,,,,55,1,0.88,0.9,0.89,70
56,56,0,0.92,0.51,0.66,70,,,,,,,,,,,,,,,,,,,,,,,,,56,0,0.98,0.81,0.89,74
57,57,1,0.66,0.96,0.78,70,,,,,,,,,,,,,,,,,,,,,,,,,57,1,0.82,0.98,0.9,66
58,58,0,1.0,0.47,0.64,74,,,,,,,,,,,,,,,,,,,,,,,,,58,0,0.92,0.93,0.93,75
59,59,1,0.63,1.0,0.77,66,,,,,,,,,,,,,,,,,,,,,,,,,59,1,0.92,0.91,0.91,65
60,60,0,1.0,0.55,0.71,75,,,,,,,,,,,,,,,,,,,,,,,,,60,0,0.94,0.93,0.94,72
61,61,1,0.66,1.0,0.79,65,,,,,,,,,,,,,,,,,,,,,,,,,61,1,0.93,0.94,0.93,68
62,62,0,0.98,0.57,0.72,72,,,,,,,,,,,,,,,,,,,,,,,,,62,0,0.85,0.91,0.88,69
63,63,1,0.68,0.99,0.81,68,,,,,,,,,,,,,,,,,,,,,,,,,63,1,0.91,0.85,0.88,71
64,64,0,0.95,0.51,0.66,69,,,,,,,,,,,,,,,,,,,,,,,,,64,0,0.93,0.9,0.91,77
65,65,1,0.67,0.97,0.79,71,,,,,,,,,,,,,,,,,,,,,,,,,65,1,0.88,0.92,0.9,63
66,66,0,0.98,0.58,0.73,77,,,,,,,,,,,,,,,,,,,,,,,,,66,0,0.97,0.95,0.96,75
67,67,1,0.66,0.98,0.79,63,,,,,,,,,,,,,,,,,,,,,,,,,67,1,0.94,0.97,0.95,65
68,68,0,0.93,0.55,0.69,75,,,,,,,,,,,,,,,,,,,,,,,,,68,0,0.92,0.86,0.89,80
69,69,1,0.65,0.95,0.77,65,,,,,,,,,,,,,,,,,,,,,,,,,69,1,0.83,0.9,0.86,60
70,70,0,0.96,0.54,0.69,80,,,,,,,,,,,,,,,,,,,,,,,,,70,0,0.93,0.96,0.95,73
71,71,1,0.61,0.97,0.75,60,,,,,,,,,,,,,,,,,,,,,,,,,71,1,0.95,0.93,0.94,67
72,72,0,0.95,0.53,0.68,73,,,,,,,,,,,,,,,,,,,,,,,,,72,0,0.95,0.96,0.96,80
73,73,1,0.66,0.97,0.78,67,,,,,,,,,,,,,,,,,,,,,,,,,73,1,0.95,0.93,0.94,60
